POSITIVE,NEGATIVE
enjoying,dishonest
I took advantage,dishonesty
Thank you very much,fallible
thank you,fallibly
Thanks,loss
thank you,failure
vlw,failed
tmj,incorrect
Hey we,unavailable
partner,reprehensible
partnership,remorse
up,failed
#up,disapprove
peace,affront
harmony,affronted
prosperity,hot flush
flz,outrageously
cursh,outrageous
Thank God,annihilation
thanks,annihilation
🙏,annihilate
🥰,blaspheme
✔️,blasphemy
✨,blasphemous
🎓,discredit
🤗,disbelief
🦄,disbelieve
🎖️,tarnish
🏅,belittle
🥈,unworthiness
🥇,hypocritical
🥉,hypocrites
🏵️,dishonor
🤱,dishonored
🎊,dishonor
🏊,dishonorable
🏳️‍🌈,spite
☘️,discrediting
☀️,discredit
🏈,discredit
🦃,defamation
💘,defame
🎖️,defamatory
👰,embarrassed
⛄,embarrass
🎿,shame
🏡,shameful
⚽,vexation
🏆,horror
🎇,embarrassed
🍾,shame
🥂,denigrate
💪,denigrated
💏,shamed
👩‍❤️‍💋‍👨,embarrassed
👨‍❤️‍💋‍👨,slave
👩‍❤️‍💋‍👩,stigma
💑,stigmatism
👩‍❤️‍👨,stigmatized
👨‍❤️‍👨,stigmatize
👩‍❤️‍👩,fiasco
💄,humiliation
💍,humiliated
👑,humiliating
🥳,humiliate
😃,sorry
😀,outrage
😁,indignity
😆,unworthy
😅,injury
☺️,injure
😊,insulting
😇,insult
😍,insult
🥰,insultingly
😘,insulting
😗,disrespect
😙,disrespectfully
😚,disrespectful
😋,offend
😜,offended
🤪,offense
💪,offensive
🦾,offender
🙏,fool
✍,perdition
💄,prostrate
💋,drawdown
🧑‍🍳,demote
👩‍🍳,submit to that
👨‍🍳,submitted to it
👩‍🎨,submission to that
🧑‍🎨,submissive to it
💅,submit to this
💃,submitted to this
🕺,submission to it
👯‍♀️,submissive to this
👯‍♂️,submit to this
👩‍❤️‍👨,submitted to this
👩‍❤️‍👩,submission to that
👨‍❤️‍👨,submissive to this
👩‍❤️‍💋‍👨,submit to this
👩‍❤️‍💋‍👩,submitted to this
👨‍❤️‍💋‍👨,submission to this
👨‍❤️‍💋‍👨,submissive to this
👨‍👩‍👦,shamefully
👨‍👩‍👧,vexed
👨‍👩‍👧‍👦,vexing
👨‍👩‍👦‍👦,vex
👩‍👩‍👦,vexing
👩‍👩‍👧,absence
👩‍👩‍👧‍👦,stay away
👩‍👩‍👦‍👦,absent
👩‍👩‍👧‍👧,lack
👨‍👨‍👦,defect
👨‍👨‍👧,give up
👨‍👨‍👧‍👦,to give up
👨‍👨‍👦‍👦,I give up
👨‍👨‍👧‍👧,I will cancel
👩‍👦,I will process
👩‍👧,I will put it to justice
👩‍👧‍👦,I will go to justice
👩‍👦‍👦,difficulty
👩‍👧‍👧,hamper
👨‍👦,embarrass
👨‍👧,embarrassment
👨‍👧‍👦,fail
👨‍👦‍👦,flat broke-bankrupt
👨‍👧‍👧,go bankrupt
👑,miss
🎓,I can't change the plan
💍,I can't cancel
⭐,I want to cancel
🌟,I don't want the plan anymore
✨,I don't want the service anymore
⚡,wanted to cancel
💫,I can't communicate
☄️,I can't answer
💥,I can't succeed
🔥,this is disrespectful
🌈,do not give satisfaction
🌚,dissatisfied
🌝,embarrassing
🌞,what a complicated situation
🌸,complicated
🌼,beg
🌻,beggar
☘️,miserably
🍀,misery
🎄,malpractice
⚽,awkward
🏀,disability
🏈,disable
⚾,awkwardly
🥎,disability
🎾,inept
🏐,inability
🏉,disable
🎱,unable
🥋,incompetence
🏆,incompetent
🥇,destitution
🥈,indigent
🥉,indigently
🏅,unfairly
🎖️,injustice
🏵️,unjustifiable
🎗️,insatiability
🎨,insatiable
🎬,insatiable
🎤,lazier
🎧,barely finished
🎼,miseries
🎹,poor
🥁,poverty
🎷,rotten
🎺,rot
🎁,deprive
🎀,prohibition
🪄,forbidden
🪅,forbid
🎊,repressed
🎉,repression
💌,repress
🧸,repressed
🎸,renounce
☪️,to waive
🕉️,repressed
☸️,loitering
✡️,hang around
🔯,stray
🕎,vagabond
☯️,loiter
☦️,tramp
🛐,moron
⛎,dumb
♈,pdf
♉,asshole
♊,annoy
♋,annoyedly
♌,bored
♍,annoyance
♎,adulteration
♏,adulterate
♐,adultery
♑,adulterer
♒,upset
✅,upset
🆙,boredom
🆒,boring
♥️,upset
well,contrary
satisfied,contradict
satisfied,annoyance
icon,disappointment
favorable,disappointed
favorable,disappointing
liked,to disappoint
liked,degrading
like,displeased
liked,displease
I loved,unpleasant
loved,unpleasantly
we love,displeasure
loved,disappointed
beloved,disappointment
adored,disappoint
beloved,unreasonably
adored,unreasonable
echnanted,disenchanted
enchanted,disenchant
charmed,disenchantment
enchanted,disapointing
enchanted,disabuse
I loved,disillusionment
loving,disappointed
I will love,disappoint
would love,disillusionment
loved,spiteful
I would love,spite
would,displeasure
loving,unreasonable
tender,screwed everything up
loving,screw this
affectionate,chipped
lovingly,screw this
affectionately,ffs man
charmingly,bothersome
adorably,wronged
adorable,wronged
yummy,negative
happy,negatively
happily,negativism
delicious,pig
delicious,promiscuity
hot,promiscuous
cheered up,biased
lively,biased
animated,affliction
excited,grieve
cheerful,distressing
kind,afflicted
kindly,bitterness
lovely,bitterness
satisfied,bitterly
satisfied,bitter
satisfied,coerced
satisfied,compelling
satisfied,constrain
satisfy,embarrassed
cleaned up,embarrassment
cleaned up,constrict
I accept,embarrassed
I accepted,to freak out
Good,maddened
well,forced
happy,to force
happy,oppression
happy,oppressively
fuck,oppressive
fuck,overwhelm
fucked up,overwhelmed
mara,panic
marvel,suffocation
maraviold,suffocation
record,suffocating
records,suffocate
recordist,suffocation
anthem,alarming
support,alarmism
I agree,suffocated
I celebrated,Crazy
I celebrated,mad
party,persecution
applauded,chased
applaud,dangerous
reverence,dangerously
reverenced,danger
( '}{' ),hypertension
('-:,hypertensive
(':,restlessness
((-:,disquieting
(*,disturb
(-*,restless
(-:,inaccessible
(-:0,worst
(-:o,get worse
(-:O,I can't stand it
(-:|>*,I do not accept
(-;,I was disappointed
(-;|,how do you support it
(8,it's not good
(:,it wasn't what I wanted
(:0,it's good but it got a lot worse
(:o,it was good but now it's not
(:O,never paid
(;,it was bad now it got worse
(=,🤡
(?:,destroyed
(^:,ended up with the country
(^;,increasingly expensive
(^;0,Shit
(^;o,left island
(o:,corrupt
*-:,corrupt
*-;,it's no good
*:,I regret having bought
*<|:-),I regretted the purchase
*\0/*,very high value
*^:,overpriced
",-:",charge the eyes of the face
---'-;-{@,do not deliver
--<--<@,not what I expected :(
0:),false advertising
0:-),tricked me
0;^),deceived us
10q,tricked us
8),I will cancel immediately
8-d,I want them to solve my problem
8d,I'm in trouble
:'),I have problems
:'-),it's very troublesome
:),locks too much
:*,never carry
:-),falls straight
:-)),I like it very bad
:-*,arrived cold
":-,",delivery took a while
:-d,delivery delay
:-D,delivery delay
:-p,delivery taking too long
:3,drunk
:>,drunk
:?),I'm never answered
:],I didn't get service
:^),ignore me
:^*,I was ignored
:c),don't cancel my plan
:D,I've tried everything
:d,I'm tired of it
:o),I'm tired of this clowning
:p,how do you do this with the customer
:P,Lack of consideration
:},lack of respect
:Þ,lack of honesty
;-),lack of obscurity
;-*,thankless
;^),bad example
<3,rude
<:,rude
>:p,uneducated
>_>^,evil in the heart
@>-->--,holding a grudge
@}-;-'---,not to trust
[:,I do not trust
[;,suspect
[=,chain in them
\o/,prison
^<_<,go to jail
a+,fucked up
aas,really hurts
aayf,unbearable
abilities,complicated situation
ability,I do not know what to do
able,everything went wrong
aboard,I do not agree
abound,I do not agree
abounds,unhappiness
above,Unfortunately
aboveaverage,unhappy
absolve,upset
absolved,it only gets worse
absolves,situation only gets worse
absolving,downhill
absorbed,sank once and for all
abundance,very expensive
abundant,inflated
accept,inflated
acceptabilities,as they haven't arrested this guy yet
acceptability,don't deserve it
acceptable,don't deserve
acceptableness,bad smell
acceptably,it stinks
acceptance,doesn't smell good
acceptances,it is not for me
acceptant,blocked
acceptation,blocked
accepted,break
accepting,broke
accepts,I broke
accessable,stopped working
accessible,doesn't work anymore
acclaim,unbeliever
acclaimed,discredited
acclamation,liar
accolade,lies
accolades,infidelity
accommodative,infidels
accomodative,convictions
accomplish,repudiation
accomplished,repudiates
accomplishes,repudiation
accomplishment,protest
accomplishments,to protest
accord,protesting
accordance,off air
accordantly,wait it never ends
accurate,made a fool of yourself
accurately,made a fool of yourself
achievable,made a clown
achieve,bundle of clothes
achievement,muggles
achievements,play with me
achievible,play with the people
acknowledge,playing with my patience
acknowledgement,testing my patience
acquit,testing patience
acquits,made me a tomboy
acquitted,shouldn't do that with the client
acquitting,vandal
active,vandals
actively,vandalism
actives,mess
acumen,very messed up
adaptability,very tangled
adaptable,rolled up
adaptive,rolled up
adept,rolled up
adeptly,little shame
adequate,shameless
adherence,weak
adherent,bad sign
adhesion,very weak
adjustable,there is no agreement
admirability,there is no business
admirable,without commitment
admirableness,uncommitted
admirably,uncommitted
admiral,uncommitted
admirals,there is no commitment
admiralties,clueless
admiralty,turning over in the grave
admiration,I'm not a child
admirations,I'm not a clown
admire,I look like a clown
admired,I look like a clown
admirer,there is no peace
admirers,there is not an ounce of peace
admires,I don't have an ounce of peace
admiring,there is no judgment
admiringly,fraud
admission,black fraud
admits,fake progagan
adopt,fake
adopts,fake
adorability,abusive price
adorable,inaccessible
adorableness,nothing works
adorably,nothing works as it should
adoration,no good
adorations,nothing works
adore,it's not paying
adored,lack of fellowship
adorer,lack of commitment
adorers,lack of zeal
adores,lack of appreciation
adoring,I didn't feel important
adoringly,a nobody
adorner,like garbage
adorning,garbage
adornment,bag
adroit,what's the chance of it working?
adroitly,clowning
adulate,despicable attitude
adulation,dishonorable attitude
adulatory,bad decision
advanced,wrongly
advantage,wrong
advantaged,incorrect
advantageous,wrong
advantageously,wrong
advantageousness,wrong
advantages,I don't have peace
advantaging,disease
adventure,cancer
adventured,stone in the shoe
adventurer,scrotisse
adventures,too much scrotum
adventuresome,very scrotum
adventuresomeness,🤥
adventuresses,🤢
adventuring,🤮
adventurism,🤧
adventurist,🥵
adventuristic,🤒
adventurists,😤
adventurous,😡
adventurously,🤬
adventurousness,😓
advice,🥱
advisable,😾
advocate,🤡
advocated,💩
advocates,💔
affability,🖕
affable,👎
affably,🤦‍♀️
affectation,🤦🏻‍♂️
affection,🤦🏼‍♂️
affectional,🤦🏽‍♂️
affectionally,🤦🏾‍♂️
affectionate,🤦🏿‍♂️
affectionately,🤦🏼‍♀️
affectioned,🤦🏻‍♀️
affections,🤦🏽‍♀️
affinity,🤦🏾‍♀️
affirm,🤦🏿‍♀️
affirmation,🤦🏻
affirmative,🤦🏼
affluence,I do not like
affluent,I didn't like
afford,I did not like it
affordable,I do not like
affordably,I don't like
afloat,I didn't like
afordable,we like
agile,really not good
agilely,it's not good
agility,I'm not happy
agog,I'm not happy
agree,I can't believe they canceled
agreeability,that was not good
agreeable,I don't know what's worse
agreeableness,this is worse
agreeablenesses,"If it's bad for you, imagine"
agreeably,I can't stand it anymore
agreed,hostile
agreeing,ungratefully
agreement,ingratitude
agreements,racism
agrees,racist
alert,ignoble
alive,filth
all-around,unclean
alleviate,junk
allow,dirty
allowable,selfishness
alluring,selfish
alluringly,it's the worst
alol,alcoholism
alright,traffic
altruistic,it doesn't work
altruistically,it doesn't work well
amaze,I can't change the plan
amazed,I can't cancel
amazedly,I don't want the plan anymore
amazement,I don't want the service anymore
amazements,I can't communicate
amazes,I can't answer
amazing,I can't be successful
amazingly,do not give satisfaction
amazonstone,I can't stand it
ambitious,not accepted
ambitiously,it's not good
ambw,it wasn't what I wanted
ameliorate,eh good but it got a lot worse
amenable,it was good but it's not anymore
amenity,ended up with the country
amiability,corrupt
amiabily,charge the eyes of the face
amiable,don't deliver
amicability,it's not what you expected :(
amicable,tricked me
amicably,I will cancel immediately
amity,I'm in trouble
amnesty,it's very problematic
amor,never carry
amorino,falls straight
amorist,drunk
amoristic,I'm never answered
amoroso,I wasn't answered
amorous,Don't cancel my plan
amorously,I'm tired of this clowning
amorousness,Lack of consideration
ample,lack of respect
amply,lack of honors
amuse,evil in the heart
amused,you shouldn't trust
amusedly,I don't trust
amusement,suspect
amusements,prison
amuser,unbearable
amusers,I don't know what to do
amuses,I don't agree
amusing,I don't agree
amusingly,unhappy
amusingness,upset
amusive,inflated
angel,how haven't they arrested this guy yet?
angelic,doesn't deserve it
animated,no mere
anticipation,it doesn't smell good
aok,it's not for me
apologise,blocked
apologized,break
apologizes,it doesn't work anymore
apotheosis,infidels
appeal,convictions
appealing,to protest
appease,wait it never ends
appeased,made a clown
appeases,playing with my patience
appeasing,testing my patience
applaud,testing patience
applauded,made me a tomboy
applauding,I shouldn't do this with the client
applauds,vandals
applause,rolled up
appreciable,little shame
appreciate,shameless
appreciated,very weak
appreciates,there is no agreement
appreciating,there is no business
appreciation,without commitment
appreciations,there is no commitment
appreciative,clueless
appreciatively,turning over in the grave
appreciativeness,I'm not a child
appreciator,I'm not a clown
appreciators,I look like a clown
appreciatory,there is not an ounce of peace
apprehensible,nothing works
appropriate,nothing works as it should
approval,lack of fellowship
approve,lack of appreciation
approved,I didn't feel important
approves,a zeh nobody
apt,garbage 🚮
aptitude,despicable attitude
aptly,dishonorable attitude
ardent,I don't have peace
ardently,disease
ardor,cancer
aristocratic,very scrotum
articulate,really not good
aspiration,no it's good
aspirations,it's not good
aspire,it was good but now it's not
assertive,n is what i expected :(
asset,it's very troublesome
assets,not for me
assuage,a nobody
assurance,very slow
assurances,too slow
assure,anger
assured,unstable
assuredly,:(
assuredness,:/
assurers,worm
assures,worms
assurgent,scrotums
assuring,racist
astonish,racist
astonished,fascist
astonishing,fascism
astonishingly,nazi
astonishment,Nazi
astound,Nazism
astounded,neo-Nazi
astounding,neo-Nazi
astoundingly,neo-Nazism
astounds,neo-nazism
astutely,🤬
asylum,it had to be
attachment,really not good
attachments,This is far from good
attain,I don't know how you like it
attainable,I didn't find it funny
attentive,this is nothing interesting
attract,is very bad
attractant,this is very poorly done
attractants,the construction is weak
attracted,shoddy product
attracting,it was worse than expected
attraction,hated it
attractions,it sure is not worth it
attractive,I found it weak
attractively,does not work
attractiveness,terrible cost-benefit
attractivenesses,the order took a long time to arrive
attractor,I was dissatisfied with the request
attractors,the order came wrong
attracts,I bought it but I regretted it
attune,I do not recommend
audacious,the taste was not good
audible,the food was cold
audibly,the shipping was very expensive
auspicious,the product came defective
authentic,the connection is too slow
authoritative,the internet is very unstable
authority,the connection drops all the time
autonomous,the plan is too expensive
available,how unpleasant
aver,what an uncaring company
avid,I don't trust this company
avidly,I found this very boring
award,I can't trust the company anymore
awardable,the company was dishonest with me
awarded,the product came with a hole
awardee,came broken
awardees,the product is fake
awarders,the person who attended me was very rude
awarding,the company was impatient to solve my problems
awards,what an incompetent company! the product has not arrived yet
awe,"I received it wrong, it was inconvenient"
awed,"it was very problematic, I didn't like it"
awesome,I found it very vulnerable
awesomely,the product is very fragile
awesomeness,"the food arrived cold, I didn't like it"
awestruck,the car is not worth it
awsome,this car is in terrible condition
b^d,I found many faults
back,"the vehicle is expensive, it's not worth it"
backbone,it was a bad investment
backed,it wasn't worth it to subscribe to this service
